id,8,9,10,11,12,13,14,15,16,21,22,23,24,25,26,27,28,29,30,31,36,37,38,39,40,41,42,43,44,45
1,-1.0,0.0,-1.0,-1.0,1.0,-0.0,-1.0,0.0,1.0,-1.0,1.0,0.0,-0.0,1.0,0.0,0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-3.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-1.0,-1.0
0,0.0,1.0,-0.0,3.0,0.0,-0.0,0.0,1.0,-0.0,-0.0,1.0,0.0,-0.0,1.0,-1.0,-0.0,-1.0,-1.0,0.0,1.0,3.0,3.0,1.0,-1.0,-2.0,-2.0,2.0,1.0,0.0,-1.0
1,-1.0,0.0,0.0,-1.0,-1.0,-0.0,-1.0,-1.0,1.0,1.0,-0.0,-2.0,-1.0,-1.0,0.0,-0.0,-0.0,0.0,1.0,-0.0,0.0,-1.0,-2.0,-1.0,-1.0,0.0,-0.0,0.0,-0.0,-1.0
2,-1.0,-2.0,1.0,-1.0,0.0,-1.0,1.0,-0.0,2.0,0.0,1.0,1.0,1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,0.0,-0.0,-1.0,-1.0,-2.0,-1.0,-2.0,0.0,-0.0,0.0,2.0
2,-1.0,-1.0,0.0,-0.0,0.0,3.0,0.0,-1.0,1.0,-2.0,0.0,1.0,0.0,-0.0,-1.0,-1.0,-0.0,-2.0,-1.0,1.0,0.0,0.0,-0.0,1.0,-0.0,-1.0,-1.0,-2.0,-1.0,-2.0
1,1.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.0,1.0,-0.0,-2.0,-1.0,-0.0,-1.0,0.0,-1.0,1.0,-2.0,1.0,0.0,-0.0,1.0,-1.0,-0.0
0,0.0,1.0,-1.0,-0.0,1.0,0.0,-0.0,-0.0,2.0,-1.0,0.0,-0.0,1.0,2.0,-1.0,-0.0,0.0,1.0,1.0,1.0,-0.0,0.0,-0.0,-0.0,-3.0,-1.0,-1.0,1.0,0.0,0.0
1,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.0,-1.0,-0.0,0.0,0.0,1.0,1.0,-2.0,-0.0,-1.0,1.0,1.0,-2.0,-2.0,1.0,2.0,0.0,-0.0,-1.0,1.0,-2.0,0.0,0.0,-0.0
1,0.0,1.0,-1.0,-1.0,-2.0,-0.0,0.0,1.0,0.0,-2.0,0.0,-0.0,1.0,-1.0,-1.0,-1.0,2.0,-1.0,0.0,-0.0,2.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,-0.0,-0.0,-1.0
